@relation 'all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C20-L5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea4 + a5 + a6 + a7-NNumber legal actions-weka.filters.unsupervised.attribute.NumericToNominal-R23-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6,7-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action North-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action South-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action East-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action West-R7-weka.filters.unsupervised.attribute.AddExpression-Ea16 + a17 + a18 + a19-NTotal distance to ghosts-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a21 > 620, 1, 0)-NHigh score-weka.filters.unsupervised.attribute.NumericToNominal-R25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,20-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,24,20,21,22,23,25-weka.filters.unsupervised.attribute.Remove-R21-22-weka.filters.unsupervised.attribute.Remove-R21'

@attribute Tick numeric
@attribute 'Pacman position X' numeric
@attribute 'Pacman position Y' numeric
@attribute 'Legal action North' {0,1}
@attribute 'Legal action South' {0,1}
@attribute 'Legal action East' {0,1}
@attribute 'Legal action West' {0,1}
@attribute 'Ghosts position 1 X' numeric
@attribute 'Ghosts position 1 Y' numeric
@attribute 'Ghosts position 2 X' numeric
@attribute 'Ghosts position 2 Y' numeric
@attribute 'Ghosts position 3 X' numeric
@attribute 'Ghosts position 3 Y' numeric
@attribute 'Ghosts position 4 X' numeric
@attribute 'Ghosts position 4 Y' numeric
@attribute 'Distance to ghost 1' numeric
@attribute 'Distance to ghost 2' numeric
@attribute 'Distance to ghost 3' numeric
@attribute 'Distance to ghost 4' numeric
@attribute 'Current score' numeric
@attribute 'High score' {0,1}
@attribute 'Pacman direction' {North,South,East,West,Stop}

@data
7,5,18,0,0,1,1,5,9,9,4,18,4,25,14,9,18,27,23,-6,0,East
8,6,18,0,0,1,1,4,9,9,3,17,4,24,14,11,18,25,21,-7,0,East
9,5,18,0,0,1,1,4,9,9,4,17,4,23,14,10,18,26,22,-8,0,West
10,4,18,0,0,1,1,4,9,9,4,17,3,23,14,9,19,28,24,-9,0,West
11,3,18,0,0,1,1,4,9,9,3,16,3,23,13,10,21,28,24,-10,0,West
12,2,18,0,0,1,1,4,8,10,3,17,3,22,13,12,23,30,24,-11,0,West
13,1,18,0,1,1,0,5,8,9,3,17,4,22,14,14,23,30,26,-12,0,West
14,1,17,1,1,0,0,5,8,10,3,17,3,22,13,13,23,30,26,-13,0,South
15,1,16,1,1,1,0,6,8,11,3,17,3,23,13,13,23,29,24,-14,0,South
16,1,15,1,1,1,0,6,8,11,4,17,3,22,13,12,21,28,23,-15,0,South
17,1,14,1,1,1,0,5,8,11,3,16,3,22,13,10,21,26,22,-16,0,South
18,1,13,1,1,0,0,5,9,11,3,17,3,22,13,8,20,26,21,-17,0,South
19,1,12,1,1,1,0,5,10,10,3,16,3,22,13,6,18,24,23,-18,0,South
20,1,11,1,1,0,0,5,10,10,4,16,3,22,14,5,16,23,25,-19,0,South
21,1,10,1,1,0,0,6,10,9,4,17,3,23,14,5,14,23,25,-20,0,South
22,1,9,1,1,0,0,6,10,9,5,17,4,23,13,6,12,21,25,-21,0,South
23,1,8,1,1,0,0,5,10,9,6,17,3,22,13,6,10,21,27,-22,0,South
24,1,7,1,1,0,0,5,10,10,6,17,3,22,14,7,10,20,29,-23,0,South
25,1,6,1,1,1,0,6,10,9,6,17,3,22,15,9,8,19,29,-24,0,South
26,2,6,0,1,1,1,6,10,9,5,17,3,22,14,8,8,18,27,-25,0,East
27,3,6,1,1,1,1,5,10,9,5,16,3,22,13,6,7,16,27,-26,0,East
28,3,7,1,1,1,0,4,10,10,5,16,3,22,14,4,9,17,27,-27,0,North
29,3,8,1,1,1,0,4,10,10,4,16,4,22,15,3,11,17,25,-28,0,North
30,4,8,1,1,1,1,4,9,10,3,16,3,22,14,1,11,17,23,-29,0,East
31,4,9,1,1,1,1,1,1,10,4,15,3,22,13,?,11,17,23,170,0,North
32,4,10,0,1,1,1,1,1,10,3,15,3,23,13,?,13,18,22,169,0,North
33,4,10,0,1,1,1,1,1,9,3,15,4,23,13,?,12,17,21,168,0,North
34,4,9,1,1,1,1,1,1,9,4,14,4,22,13,?,10,15,23,167,0,South
35,4,8,1,1,1,1,1,1,10,4,15,4,22,14,?,10,15,24,166,0,South
36,5,8,1,1,1,1,1,1,10,4,15,3,22,14,?,9,15,23,165,0,East
37,6,8,1,1,0,1,1,1,11,4,16,3,22,14,?,9,15,23,164,0,East
38,6,7,1,1,0,1,1,1,11,4,16,4,23,14,?,8,13,24,163,0,South
39,6,6,1,0,1,1,1,1,10,4,15,4,23,14,?,6,11,26,162,0,South
40,7,6,0,0,1,1,1,1,11,4,15,4,24,14,?,6,10,26,161,0,East
41,8,6,1,1,1,1,1,1,11,5,15,4,25,14,?,4,9,24,160,0,East
42,9,6,1,1,1,1,1,1,11,4,16,4,25,13,?,4,9,23,159,0,East
43,9,5,1,1,1,1,1,1,11,3,16,3,25,13,?,4,9,24,158,0,South
44,10,5,1,1,1,1,1,1,10,3,16,4,25,13,?,2,7,23,157,0,East
45,11,5,1,1,0,1,1,1,9,3,16,3,25,13,?,4,7,22,156,0,East
46,11,5,1,1,0,1,1,1,8,3,16,4,25,13,?,5,6,23,155,0,East
47,11,4,1,1,0,1,1,1,8,4,17,4,25,14,?,3,6,23,154,0,South
48,10,4,1,1,1,1,1,1,8,3,16,4,25,13,?,3,6,24,153,0,West
49,9,4,1,1,1,1,1,1,7,3,15,4,25,13,?,3,6,25,152,0,West
50,8,4,1,1,1,0,1,1,8,3,14,4,25,13,?,1,6,27,151,0,West
51,8,3,1,0,1,1,1,1,3,1,14,5,25,14,?,?,8,27,350,0,South
52,7,3,0,0,1,1,1,1,3,1,14,5,24,14,?,?,9,29,349,0,West
53,6,3,0,0,1,1,1,1,3,1,14,5,24,15,?,?,10,30,348,0,West
54,5,3,1,0,1,1,1,1,3,1,14,5,24,15,?,?,11,32,347,0,West
55,6,3,0,0,1,1,1,1,3,1,14,4,24,16,?,?,9,30,346,0,East
56,7,3,0,0,1,1,1,1,3,1,14,3,24,15,?,?,7,30,345,0,East
57,8,3,1,0,1,1,1,1,3,1,15,3,25,15,?,?,7,28,344,0,East
58,8,4,1,1,1,0,1,1,3,1,15,4,25,14,?,?,7,27,343,0,North
59,9,4,1,1,1,1,1,1,3,1,16,4,25,14,?,?,7,26,342,0,East
60,10,4,1,1,1,1,1,1,3,1,16,3,25,14,?,?,7,24,341,0,East
