@relation all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost 1' numeric
@attribute 'South ghost 1' numeric
@attribute 'East ghost 1' numeric
@attribute 'West ghost 1' numeric
@attribute 'North ghost 2' numeric
@attribute 'South ghost 2' numeric
@attribute 'East ghost 2' numeric
@attribute 'West ghost 2' numeric
@attribute 'North ghost 3' numeric
@attribute 'South ghost 3' numeric
@attribute 'East ghost 3' numeric
@attribute 'West ghost 3' numeric
@attribute 'North ghost 4' numeric
@attribute 'South ghost 4' numeric
@attribute 'East ghost 4' numeric
@attribute 'West ghost 4' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
False,True,True,True,?,16,14,16,?,?,?,?,?,?,?,?,?,?,?,?,East,565,564
False,True,True,True,?,16,14,16,?,?,?,?,?,?,?,?,?,?,?,?,East,564,563
False,True,True,True,?,16,14,16,?,?,?,?,?,?,?,?,?,?,?,?,East,563,562
True,True,True,True,13,15,15,15,?,?,?,?,?,?,?,?,?,?,?,?,East,562,561
True,True,True,False,13,15,15,?,?,?,?,?,?,?,?,?,?,?,?,?,North,561,560
True,True,True,True,11,13,13,11,?,?,?,?,?,?,?,?,?,?,?,?,North,560,559
True,True,True,True,11,13,13,11,?,?,?,?,?,?,?,?,?,?,?,?,North,559,558
True,True,True,True,9,11,11,9,?,?,?,?,?,?,?,?,?,?,?,?,North,558,557
False,True,True,True,?,10,10,8,?,?,?,?,?,?,?,?,?,?,?,?,North,557,556
False,True,True,True,?,9,9,7,?,?,?,?,?,?,?,?,?,?,?,?,West,556,555
False,True,True,True,?,7,7,5,?,?,?,?,?,?,?,?,?,?,?,?,West,555,554
False,False,True,True,?,?,5,3,?,?,?,?,?,?,?,?,?,?,?,?,West,554,553
False,False,True,True,?,?,5,3,?,?,?,?,?,?,?,?,?,?,?,?,West,553,552
False,False,True,True,?,?,3,1,?,?,?,?,?,?,?,?,?,?,?,?,West,552,551
True,False,True,True,11,?,13,11,17,?,15,17,7,?,5,7,12,?,10,12,South,-1,-2
True,True,True,True,12,14,14,12,16,14,16,16,6,4,6,6,11,9,9,11,East,-2,-3
True,True,True,False,12,14,14,?,15,13,15,?,6,4,6,?,9,7,7,?,South,-3,-4
True,True,True,True,12,14,14,14,15,13,15,13,6,4,6,4,8,6,6,8,South,-4,-5
True,True,True,True,14,16,16,16,15,15,15,13,6,6,6,4,6,4,4,6,South,-5,-6
True,False,True,True,15,?,15,17,14,?,14,12,6,?,6,4,7,?,5,7,West,-6,-7
True,True,True,True,17,19,17,19,12,10,12,10,6,4,6,4,9,9,7,9,West,-7,-8
True,True,False,True,17,19,?,19,10,8,?,8,6,4,?,4,7,9,?,9,South,-8,-9
