@relation distance_raw_data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost' numeric
@attribute 'South ghost' numeric
@attribute 'East ghost' numeric
@attribute 'West ghost' numeric
@attribute 'North dot' numeric
@attribute 'South dot' numeric
@attribute 'East dot' numeric
@attribute 'West dot' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,True,True,True,11,13,11,13,12,14,12,14,East,734,733
True,False,True,True,10,?,12,12,10,?,12,12,East,733,732
False,False,True,True,?,?,13,11,?,?,14,12,East,732,831
False,False,False,True,?,?,?,?,?,?,?,13,East,831,830
False,False,True,True,?,?,?,?,?,?,14,12,West,830,829
True,False,True,True,?,?,?,?,10,?,12,12,West,829,828
True,True,False,True,?,?,?,?,10,12,?,12,North,828,827
True,True,True,True,?,?,?,?,8,10,8,10,North,827,826
True,True,True,True,?,?,?,?,6,8,6,8,North,826,825
True,True,True,True,?,?,?,?,4,6,4,6,North,825,824
True,True,True,True,?,?,?,?,3,5,3,5,East,824,823
True,True,True,True,?,?,?,?,1,3,1,3,East,823,822
True,True,True,True,6,4,4,6,9,7,9,9,East,-4,-5
True,True,True,True,5,3,3,5,9,7,9,7,East,-5,-6
True,True,True,True,6,4,4,6,9,11,11,9,North,-6,-7
False,True,True,True,?,5,5,7,?,10,10,8,North,-7,-8
False,True,True,True,?,6,6,8,?,9,9,7,West,-8,-9
False,True,True,True,?,8,8,6,?,7,7,5,West,-9,-10
False,True,True,True,?,7,7,5,?,5,5,3,West,-10,-11
False,False,True,True,?,?,6,4,?,?,4,2,West,-11,-12
False,False,True,True,?,?,5,3,?,?,4,2,West,-12,-13
False,False,True,True,?,?,4,2,?,?,4,2,West,-13,-14
False,False,True,True,?,?,3,1,?,?,4,2,West,-14,-15
False,False,True,True,?,?,4,2,?,?,6,4,East,-15,-16
False,False,True,True,?,?,5,3,?,?,6,4,East,-16,-17
False,False,True,True,?,?,4,2,?,?,5,3,West,-17,-18
False,False,True,True,?,?,3,1,?,?,5,3,West,-18,-19
False,True,True,True,?,2,2,0,?,3,3,1,West,-19,-20
False,True,True,True,?,1,1,1,?,2,2,0,West,-20,-21
True,False,True,True,0,?,2,2,1,?,3,1,South,-21,-22
True,False,True,False,1,?,1,?,0,?,2,?,West,-22,-23
True,False,True,True,0,?,2,2,0,?,2,2,East,-23,-24
True,False,False,True,1,?,?,1,1,?,?,1,East,-24,-25
False,True,True,True,?,2,2,0,?,1,3,1,North,-25,-26
False,True,True,True,?,1,1,1,?,1,3,1,West,-26,173
False,True,True,False,?,2,0,?,?,22,20,?,West,173,172
True,False,True,False,1,?,1,?,20,?,20,?,South,172,171
True,False,True,False,1,?,1,?,19,?,19,?,South,171,170
True,False,True,True,0,?,2,2,17,?,17,19,East,170,169
